Channel,Distance,Azimuth,Phase,Arrival Time,Status,Residual,Weight
3A WORL HHZ --,20.1953,346.852,P,2026-03-15T05:05:12.260Z,manual,1.33,0.65
IU BBSR BHZ 10,29.2286,43.9396,P,2026-03-15T05:06:37.600Z,automatic,0.21,0.83
TX ALPN HHZ 00,22.6547,323.593,P,2026-03-15T05:05:36.700Z,manual,-0.79,0.71
GS ASLAR HHZ F0,27.6456,326.508,P,2026-03-15T05:06:25.050Z,manual,1.51,0.82
SV JAYA HHZ --,1.5115,312.345,Pn,2026-03-15T05:01:04.780Z,manual,-0.74,1.03
IU ANMO BHZ 10,27.6447,326.513,P,2026-03-15T05:06:24.440Z,automatic,0.93,0.82
NU CRIN BHZ --,1.2497,86.934,Pn,2026-03-15T05:01:02.280Z,manual,0.19,1.08
IU CCM BHZ 00,25.4545,354.585,P,2026-03-15T05:06:03.090Z,manual,-0.42,0.79
IU WCI BHZ 10,25.5542,3.6638,P,2026-03-15T05:06:03.550Z,automatic,-0.85,0.79
IU WVT BHZ 00,23.3999,0.9573,P,2026-03-15T05:05:43.910Z,manual,-0.89,0.73
PR MLPR HHZ 00,21.1702,72.84,P,2026-03-15T05:05:21.600Z,manual,0,0.68
US GOGA BHZ 00,21.1521,11.2459,P,2026-03-15T05:05:22.490Z,manual,1.23,0.68
